Date : 2020-02-24 14:25:48
Directory : c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend
Total : 85 files,  20325 codes, 111 comments, 327 blanks, all 20763 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Dashboard.module.scss                 | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\ForgotPassword.module.scss            | SCSS             |         56 |          0 |          5 |         61 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Header.module.scss                    | SCSS             |        149 |         11 |         30 |        190 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Landing.module.scss                   | SCSS             |         48 |          0 |          7 |         55 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Lesson.module.scss                    | SCSS             |         28 |          0 |          6 |         34 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Login.module.scss                     | SCSS             |        121 |          0 |         11 |        132 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Resources.module.scss                 | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\ScheduleLesson.module.scss            | SCSS             |         12 |          0 |          1 |         13 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Services.module.scss                  | SCSS             |         60 |          0 |         14 |         74 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Settings.module.scss                  | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Wallet.module.scss                    | SCSS             |          0 |          0 |          1 |          1 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\About\About.test.tsx                   | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\AgreementDocs\AgreementDocs.test.tsx   | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\App.test.tsx                           | TypeScript React |         20 |          0 |          3 |         23 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Blog\Blog.test.tsx                     | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Calendar\Calendar.test.tsx             | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Contact\Contact.test.tsx               | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\CreateAccount\CreateAccount.test.tsx   | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Dashboard\Dashboard.test.tsx           | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Header\ContextValueWrapper.tsx         | TypeScript React |         32 |          0 |          2 |         34 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Header\Header.test.tsx                 | TypeScript React |         41 |          2 |          7 |         50 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Landing\Landing.test.tsx               | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Lesson\Lesson.test.tsx                 | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Login\Login.test.tsx                   | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Resources\Resources.test.tsx           | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\SchedualLesson\SchedualLesson.test.tsx | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Services\Services.test.tsx             | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Settings\Settings.test.tsx             | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Wallet\Wallet.test.tsx                 | TypeScript React |          9 |          0 |          1 |         10 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\types\CreateAccountTypes.ts                  | TypeScript       |         15 |          0 |          1 |         16 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\types\FormInputTypes.ts                      | TypeScript       |          5 |          0 |          0 |          5 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\types\UserTypes.ts                           | TypeScript       |         16 |          0 |          3 |         19 |
| c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\tsconfig.json                                    | JSON             |         25 |          0 |          1 |         26 |
| Total                                                                                                  |                  |     20,325 |        111 |        327 |     20,763 |
+--------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
